id,name,birth_date,birth_time,location,tz,latitude,longitude,data_source,notes
CSN,China Southern Airlines,1991-01-01,,Guangzhou Baiyun International Airport,Asia/Shanghai,23.39240074157715,113.29900360107422,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (114 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
CFG,Condor Flugdienst,1955-01-01,,Frankfurt am Main Airport,Europe/Berlin,50.033333,8.570556,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (42 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
CMP,Copa Airlines,1947-01-01,,Tocumen International Airport,America/Panama,9.0713596344,-79.3834991455,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (61 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
CRL,Corsair International,1981-01-01,,Paris-Orly Airport,Europe/Paris,48.7233333,2.3794444,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (7 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
CTN,Croatia Airlines,1990-01-01,,Zagreb Airport,Europe/Zagreb,45.7429008484,16.0687999725,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (20 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
EVA,EVA Air,1989-04-07,,Taiwan Taoyuan International Airport,Asia/Taipei,25.0777,121.233002,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (41 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
MSR,EgyptAir,1932-01-01,,Cairo International Airport,Africa/Cairo,30.12190055847168,31.40559959411621,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (70 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
UAE,Emirates,1985-03-25,,Dubai International Airport,Asia/Dubai,25.2527999878,55.3643989563,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (120 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
ETH,Ethiopian Airlines,1945-01-01,,Addis Ababa Bole International Airport,Africa/Addis_Ababa,8.97789001465,38.799301147499996,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (63 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
ETD,Etihad Airways,2003-01-01,,Abu Dhabi International Airport,Asia/Dubai,24.433000564575195,54.651100158691406,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (77 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
FIN,Finnair,1923-09-12,,Helsinki Vantaa Airport,Europe/Helsinki,60.317199707031,24.963300704956,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (49 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
FFT,Frontier Airlines,1994-01-01,,Denver International Airport,America/Denver,39.861698150635,-104.672996521,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (60 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
GIA,Garuda Indonesia,1947-08-01,,Soekarno-Hatta International Airport,Asia/Jakarta,-6.1255698204,106.65599823,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (45 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
GLO,Gol Transportes Aéreos,2001-01-15,,Congonhas Airport,America/Sao_Paulo,-23.626110076904297,-46.65638732910156,wikidata+openflights,"hub identified via OpenFlights city match (Sao Paulo / Wikidata headquarters location), not route-frequency (no route rows for GLO in OpenFlights routes.dat)"
HAL,Hawaiian Airlines,1929-01-30,,Daniel K Inouye International Airport,Pacific/Honolulu,21.32062,-157.924228,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (28 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
IBE,Iberia,1927-01-01,,Adolfo Suárez Madrid–Barajas Airport,Europe/Madrid,40.471926,-3.56264,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (47 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
ICE,Icelandair,1937-01-01,,Keflavik International Airport,Atlantic/Reykjavik,63.985000610352,-22.605600357056,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (25 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
IGO,IndiGo,2005-01-01,,Indira Gandhi International Airport,Asia/Calcutta,28.5665,77.103104,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (27 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
JAL,Japan Airlines,1951-08-01,,Tokyo Haneda International Airport,Asia/Tokyo,35.552299,139.779999,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (43 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
EXS,Jet2.com,2002-01-01,,Manchester Airport,Europe/London,53.35369873046875,-2.2749500274658203,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (35 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
JST,Jetstar Airways,2003-01-01,,Melbourne International Airport,Australia/Hobart,-37.673302,144.843002,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (23 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
KLM,KLM,1919-10-07,,Amsterdam Airport Schiphol,Europe/Amsterdam,52.308601,4.76389,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (95 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
KQA,Kenya Airways,1977-01-01,,Jomo Kenyatta International Airport,Africa/Nairobi,-1.31923997402,36.9277992249,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (45 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
LAN,LATAM Airlines,1929-01-01,,Comodoro Arturo Merino Benítez International Airport,America/Santiago,-33.393001556396484,-70.78579711914062,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (29 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
TAM,LATAM Brasil,1961-01-01,,Guarulhos - Governador André Franco Montoro International Airport,America/Sao_Paulo,-23.435556411743164,-46.47305679321289,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (47 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
LOT,LOT Polish Airlines,1929-01-01,,Warsaw Chopin Airport,Europe/Warsaw,52.1656990051,20.967100143399996,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (48 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
DLH,Lufthansa,1926-01-01,,Frankfurt am Main Airport,Europe/Berlin,50.033333,8.570556,wikidata+openflights,"Wikidata records multiple inception (P571) dates for this entity, likely reflecting predecessor/successor entities: 1926, 1953-01-06; earliest used here. founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (143 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
MAS,Malaysia Airlines,1972-09-30,,Kuala Lumpur International Airport,Asia/Kuala_Lumpur,2.745579957962,101.70999908447,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (66 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
NAX,Norwegian Air Shuttle,1993-01-22,,Oslo Lufthavn,Europe/Oslo,60.121,11.0502,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (71 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
PGT,Pegasus Airlines,1989-01-01,,Sabiha Gökçen International Airport,Europe/Istanbul,40.898601532,29.3092002869,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (75 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
PAL,Philippine Airlines,1941-01-01,,Ninoy Aquino International Airport,Asia/Manila,14.5086,121.019997,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (60 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
POE,Porter Airlines,2006-01-01,,Billy Bishop Toronto City Centre Airport,America/Toronto,43.627499,-79.396202,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (13 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
QFA,Qantas Airways,1920-11-16,,Sydney Kingsford Smith International Airport,Australia/Sydney,-33.94609832763672,151.177001953125,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (31 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
QTR,Qatar Airways,1993-11-22,,Hamad International Airport,Asia/Qatar,25.273056,51.608056,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (112 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ) NOTE: OpenFlights airports.dat has no timezone on file for this hub airport (raw '\N' null marker); tz manually filled in as Asia/Qatar from independent knowledge."
RJA,Royal Jordanian,1967-01-01,,Queen Alia International Airport,Asia/Amman,31.7226009369,35.9931983948,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (52 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
RYR,Ryanair,1985-01-01,,London Stansted Airport,Europe/London,51.8849983215,0.234999999404,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (124 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
SAS,Scandinavian Airlines,1946-08-01,,Copenhagen Kastrup Airport,Europe/Copenhagen,55.617900848389,12.656000137329,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (69 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
SIA,Singapore Airlines,1964-01-01,,Singapore Changi Airport,Asia/Singapore,1.35019,103.994003,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (53 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
SAA,South African Airways,1934-01-01,,OR Tambo International Airport,Africa/Johannesburg,-26.1392,28.246,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (37 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
NKS,Spirit Airlines,1983-01-01,,Fort Lauderdale Hollywood International Airport,America/New_York,26.072599,-80.152702,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (42 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
SWR,Swiss International Air Lines,2002-01-01,,Zürich Airport,Europe/Zurich,47.464699,8.54917,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (65 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
TAP,TAP Air Portugal,1945-03-14,,Humberto Delgado Airport (Lisbon Portela Airport),Europe/Lisbon,38.7813,-9.13592,wikidata+openflights,"Wikidata records multiple inception (P571) dates for this entity, likely reflecting predecessor/successor entities: 1945-03-14, 1946; earliest used here. hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (62 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
THA,Thai Airways,1960-01-01,,Suvarnabhumi Airport,Asia/Bangkok,13.681099891662598,100.74700164794922,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (73 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
THY,Turkish Airlines,1933-05-20,,Atatürk International Airport,Europe/Istanbul,40.976898,28.8146,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (218 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
TUA,Turkmenistan Airlines,1992-01-01,,Ashgabat International Airport,Asia/Ashgabat,37.986801,58.361,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (8 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
AUI,Ukraine International Airlines,1992-01-01,,Boryspil International Airport,Europe/Kiev,50.345001220703125,30.894699096679688,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (49 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
VJC,VietJet Air,2012-01-01,,Tan Son Nhat International Airport,Asia/Saigon,10.8187999725,106.652000427,wikidata+openflights,"founding year only, month/day unknown hub identified via OpenFlights city match (Ho Chi Minh City / Wikidata headquarters location), not route-frequency (no route rows for VJC in OpenFlights routes.dat)"
HVN,Vietnam Airlines,1956-01-01,,Noi Bai International Airport,Asia/Saigon,21.221200942993164,105.80699920654297,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (39 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
VIR,Virgin Atlantic,1984-01-01,,London Heathrow Airport,Europe/London,51.4706,-0.461941,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (20 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
VOZ,Virgin Australia,2000-01-01,,Perth International Airport,Australia/Perth,-31.94029998779297,115.96700286865234,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (13 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
VOI,Volaris,2005-01-01,,General Abelardo L. Rodríguez International Airport,America/Tijuana,32.541099548339844,-116.97000122070312,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (29 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
VLG,Vueling,2004-01-01,,Barcelona International Airport (El Prat),Europe/Madrid,41.2971,2.07846,wikidata+openflights,"founding year only, month/day unknown hub identified via OpenFlights city match (Barcelona), not route-frequency (no route rows for VLG in OpenFlights routes.dat)"
WJA,WestJet,1994-06-27,,Lester B. Pearson International Airport,America/Toronto,43.6772003174,-79.63059997559999,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (48 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
